시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
한익환서울특별시아트박물관,사립,서울특별시 용산구 한남대로 108,,,,02-796-0100,김인순,"blog.daum.net/hansam2012
blog.naver.com/hansam2006",,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-796-0100,김인순,2017-12-31
혜곡최순우기념관,사립,서울특별시 성북구 성북로 15길 9,,37.592904,127.000314,02-3675-3401,윤상구(재단법인 내셔널트러스트 문화유산기금),http://choisunu.com,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3675-3401,윤상구(재단법인 내셔널트러스트 문화유산기금),2017-12-31
호림박물관(신림본관),사립,서울특별시 남부순환로 152길 53,,,,02-858-3874,성보문화재단,www.horimmuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,4000,2000,20000,,,,02-858-3874,성보문화재단,2017-12-31
호림박물관(신사분관),사립,서울특별시 도산대로317,,,,02-541-3523,성보문화재단,,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-541-3523,성보문화재단,2017-12-31
화정박물관,사립,서울특별시 종로구 평창8길 3,,37.604654,126.965901,02-2075-0114,한빛문화재단,www.hjmuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,6000,3000,3000,,,,02-2075-0114,한빛문화재단,2017-12-31
건국대학교박물관,대학,서울특별시 광진구 능동로 120,,37.542383,127.075614,02-450-3881,건국대학교,http://museum.konkuk.ac.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-450-3881,건국대학교,2017-12-31
경희대학교 자연사박물관,대학,서울특별시 동대문구 경희대로26,,37.59771,127.055198,02-961-0142,경희대학교,http://nhm.khu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-961-0142,경희대학교,2017-12-31
경희대학교 중앙박물관,대학,서울특별시 동대문구 경희대로 26,,37.597043,127.053142,02-961-0141,경희대학교,http://museum.khu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-961-0141,경희대학교,2017-12-31
경희대학교 한의학역사박물관,대학,서울특별시 동대문구 경희대로 26 경희대학교 한의과대학 403호,,,,02-961-2274,경희대학교,없음,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-961-2274,경희대학교,2017-12-31
고려대학교박물관,대학,서울특별시 성북구 안암로 145,,37.589433,127.034532,02-3290-1514,고려대학교,museum.korea.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3290-1514,고려대학교,2017-12-31
국민대학교박물관,대학,서울특별시 정릉로 77,,37.612707,126.993619,02-910-4212,국민대학교,https://museum.kookmin.ac.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-910-4212,국민대학교,2017-12-31
덕성여자대학교박물관,사립,서울특별시 도봉구 삼양로 144길 33,,37.652736,127.016541,02-901-8132,덕성여자대학교,www.museum.duksung.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-901-8132,덕성여자대학교,2017-12-31
동국대학교 박물관,대학,서울특별시 중구 필동로1길 30,,,,02-2260-3722,동국대학교, dgumuseum.dongguk.edu,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2260-3722,동국대학교,2017-12-31
삼육대학교박물관,대학,서울특별시 노원구 화랑로 815,,37.642261,127.107832,02-3399-3065,삼육대학교,https://www.facebook.com/museum.syu.ac.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3399-3065,삼육대학교,2017-12-31
상명대학교 박물관,대학,서울특별시 종로구 평창문화로 151,,37.610541,126.975955,02-791-7920,상명대학교,museum.smu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-791-7920,상명대학교,2017-12-31
서울대학교치의학대학원치의학박물관,대학,서울특별시 종로구 대학로 103 서울특별시대학교 치의학대학원,,,,02-740-8799,서울특별시대학교,,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-740-8799,서울특별시대학교,2017-12-31
서울대학교박물관,국립,서울특별시 관악구 관악로 1,,37.46453,126.952209,02-880-5333,서울특별시대학교,http://museum.snu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-880-5333,서울특별시대학교,2017-12-31
서울시립대학교 박물관,대학,서울특별시 동대문구 서울특별시립대로 163,,37.583155,127.056948,02-6490-6586~7,서울특별시특별시립대학교,museum.uos.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-6490-6586~7,서울특별시특별시립대학교,2017-12-31
서울여자대학교박물관,대학,서울특별시 노원구 화랑로 621,,,,02-970-5311,서울특별시여자대학교,museum.swu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-970-5311,서울특별시여자대학교,2017-12-31
성균관대학교 박물관,대학,서울특별시 종로구 성균관로 25-2,,37.587447,126.994751,02-760-1216,성균관대학교,shb.skku.edu/museum,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-760-1216,성균관대학교,2017-12-31
성신여자대학교 박물관,대학,서울특별시 성북구 보문로 34다길 2,,37.591711,127.021257,02-920-7325,성신여자대학교,www.sungshin.ac.kr/museum,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-920-7325,성신여자대학교,2017-12-31
 성신여자대학교자연사박물관,대학,서울특별시 강북구 도봉로 76가길 55,,,,02-920-2057,사립: 이숙종,www.sungshin.ac.kr/museum,,0:00,0:00,0:00,0:00,홈페이지참고,2000,1500,1500,,,,02-920-2057,사립: 이숙종,2017-12-31
성신여자대학교정원박광훈 복식박물관,대학,서울특별시 강북구 도봉로 76가길 55,,,,02-920-2657,사립: 이숙종,www.sungshin.ac.kr/museum,,0:00,0:00,0:00,0:00,홈페이지참고,2000,1500,1500,,,,02-920-2657,사립: 이숙종,2017-12-31
세종대학교박물관,대학,서울특별시 광진구 능동로 209,,37.55152,127.075253,02-3408-3876,세종대학교,http://museum.sejong.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3408-3876,세종대학교,2017-12-31
숙명여자대학교박물관,대학,서울특별시 용산구 청파로 47길 100,,37.544679,126.96411,02-710-9134,숙명여자대학교,http://museum.sookmyung.ac.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-710-9134,숙명여자대학교,2017-12-31
숙명여자대학교 정영양자수박물관,대학,서울특별시 용산구 청파로 47길 100,,,,02-710-9134,숙명여자대학교,http://www.chungyoungyang.com/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-710-9134,숙명여자대학교,2017-12-31
숭실대학교 한국기독교박물관,대학,서울특별시 동작구 상도로369,,37.495555,126.95707,02-820-0752,숭실대학교,museum.ssu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-820-0752,숭실대학교,2017-12-31
연세대학교박물관,대학,서울특별시 서대문구 연세로 50,,37.561825,126.937904,02-2123-3340,연세대학교,museum.yonsei.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2123-3340,연세대학교,2017-12-31
이화여대박물관,대학,서울특별시 서대문구 이화여대길 52,,37.560298,126.944735,02-3277-3152,이화여자대학교,http://museum.ewha.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3277-3152,이화여자대학교,2017-12-31
이화여자대학교 자연사박물관,대학,서울특별시 서대문구 이화여대길 52,,37.560603,126.948208,02-3277-4700,이화여자대학교,http://nhm.ewha.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3277-4700,이화여자대학교,2017-12-31
한양대학교박물관,대학,서울특별시 성동구 왕십리로222,,37.555271,127.044727,02-2220-1394~6,학교법인 한양학원,http://museumuf.hanyang.ac.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2220-1394~6,학교법인 한양학원,2017-12-31
홍익대학교  박물관,대학,서울특별시 마포구 와우산로 94 홍익대학교 문헌관 3층,,37.550714,126.926043,02-320-1323,홍익대학교,http://museum.hongik.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-320-1323,홍익대학교,2017-12-31
동덕여자대학교박물관,사립,서울특별시 화랑로 13길 60 동덕여자대학교,,37.606597,127.042782,02-940-4232,동덕여자대학교,http://museum.dongduk.ac.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-940-4232,동덕여자대학교,2017-12-31
겸재정선미술관,공립,서울특별시 강서구 양천로4길 36,,37.57224,126.838467,02-2659-2206,강서구,wwwgjjs.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,1000,1000,500,,,,02-2659-2206,강서구,2017-12-31
서울특별시특별시립미술관,공립,서울특별시 중구 덕수궁길 61,,,,02-2124-8800,서울특별시특별시,sema.seoul.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2124-8800,서울특별시특별시,2017-12-31
남서울특별시미술관,공립,서울특별시 관악구 남부순환로 2476,,,,02-598-6245,서울특별시특별시,sema.seoul.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-598-6245,서울특별시특별시,2017-12-31
성북구립미술관,공립,서울특별시 성북구 성북로 134,,37.594821,126.994897,02-6925-5011,성북구,"http://sma.sbculture.or.kr/, https://www.facebook.com/seongbukmuseum",,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-6925-5011,성북구,2017-12-31
종로구립 박노수미술관,공립,서울특별시 종로구 옥인1길 34,,37.581322,126.966761,02-2148-4171,종로구청/종로문화재단,www.jfac.or.kr ,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-2148-4171,종로구청/종로문화재단,2017-12-31
서울특별시과학기술대학교 미술관,대학,"서울특별시 노원구 공릉로 232, 다빈치관",,,,02-970-6215,서울특별시과학기술대학교,http://art.seoultech.ac.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-970-6215,서울특별시과학기술대학교,2017-12-31
서울특별시대학교 미술관,대학,서울특별시 관악구 관악로 1,,37.46642,126.949626,02-880-9504,서울특별시대학교,http://www.snumoa.org,,0:00,0:00,0:00,0:00,홈페이지참고,3000,2000,2000,,,,02-880-9504,서울특별시대학교,2017-12-31
숙명여자대학교 문신미술관,대학,서울특별시 용산구 청파로 47길 100,,,,02-2077-7052,숙명여자대학교,www.moonshin.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-2077-7052,숙명여자대학교,2017-12-31
인덕대학교 아정미술관,대학,서울특별시 노원구 초안산로 12 은봉관 1F,,,,02-950-7331,인덕대학교,www.induk.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-950-7331,인덕대학교,2017-12-31
한양여자대학교 미술관,대학,서울특별시 성동구 살곶이길 200,,,,02-2290-2543,한양여자대학교,http://www.hywoman.ac.kr/user/artmuseum/,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-2290-2543,한양여자대학교,2017-12-31
(재)한원미술관,사립,서울특별시 서초구 남부순환로 2423 한원빌딩 B1,,,,02-588-5642,하동환,www.hanwon.org,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-588-5642,하동환,2017-12-31
63아트미술관,사립,서울특별시 영등포구 63로 50,,,,02-780-6382,한화호텔앤드리조트,WWW.63ART.CO.KR,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-780-6382,한화호텔앤드리조트,2017-12-31
JCC아트센터,사립,서울특별시 종로구 창경궁로35길 29,,,,02-2183-7373~4,(재)재능문화,http://www.jeijcc.org/,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-2183-7373~4,(재)재능문화,2017-12-31
K현대미술관,사립,서울특별시 강남구 선릉로 807,,,,02-2138-0952,김연진,www.kmcaseoul.org,,0:00,0:00,0:00,0:00,홈페이지참고,15000,12000,12000,,,,02-2138-0952,김연진,2017-12-31
OCI미술관,사립,서울특별시 종로구 우정국로 45-14,,37.573184,126.982093,02-734-0440,송암문화재단,http://www.ocimuseum.org/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-734-0440,송암문화재단,2017-12-31
김세중미술관,사립,서울특별시 용산구 효창원로70길 35,,,,02-717-5129,(재)김세중기념사업회,http://www.joyofarts.org/,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-717-5129,(재)김세중기념사업회,2017-12-31
금호미술관,사립,서울특별시 종로구 삼청로 18,,37.577462,126.979899,02-720-5114,금호아시아나문화재단,http://www.kumhomuseum.com/,,0:00,0:00,0:00,0:00,홈페이지참고,3000,2000,2000,,,,02-720-5114,금호아시아나문화재단,2017-12-31
대림미술관,사립,서울특별시 종로구 자하문로4길 21,,37.577546,126.973371,02-720-0667,문화체육관광부,www.daelimmuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-720-0667,문화체육관광부,2017-12-31
밀알미술관,사립,서울특별시 강남구 일원동 713,,37.485667,127.082724,02-3412-0061,홍정길,www.milalmuseum.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-3412-0061,홍정길,2017-12-31
사비나미술관,사립,서울특별시 종로구 율곡로 49-4,,37.576518,126.984564,02-736-4371,문화체육관광부,www.savinamuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-736-4371,문화체육관광부,2017-12-31
삼성미술관 Leeum,사립,서울특별시 용산구 이태원로 55길 60-16,,,,02-2014-6900,삼성문화재단,http://leeum.samsungfoundation.org/,,0:00,0:00,0:00,0:00,홈페이지참고,10000,5000,5000,,,,02-2014-6900,삼성문화재단,2017-12-31
상원미술관,사립,서울특별시 종로구 평창31길 27,,37.611653,126.976565,02-396-3185,남상교,www.imageroot.co.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-396-3185,남상교,2017-12-31
성곡미술관,사립,서울특별시 종로구 경희궁길 42,,37.573155,126.969761,02-737-7650,성곡미술문화재단,http://www.sungkokmuseum.org/,,0:00,0:00,0:00,0:00,홈페이지참고,10000,8000,6000,,,,02-737-7650,성곡미술문화재단,2017-12-31
"세종문화회관 미술관
(세종미술관)",사립,서울특별시 종로구 세종대로 175,,,,02-399-1156,(재)세종문화회관,www.sejongpac.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-399-1156,(재)세종문화회관,2017-12-31
세화미술관,사립,서울특별시 종로구 새문안로 68 흥국생명빌딩 3층,,,,02-2002-7786,세화예술문화재단,www.sehwamuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-2002-7786,세화예술문화재단,2017-12-31
소마미술관,사립,서울특별시 송파구 방이동 올림픽로 424,,37.516913,127.11822,02-425-1077,국민체육진흥공단,www.soma.kspo.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,3000,2000,2000,,,,02-425-1077,국민체육진흥공단,2017-12-31
아라리오뮤지엄 인 스페이스,사립,서울특별시 종로구 율곡로 83(원서동),,37.577739,126.988343,02-736-5700,㈜아라리오,http://www.arariomuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,10000,6000,4000,,,,02-736-5700,㈜아라리오,2017-12-31
아르코미술관,사립,서울특별시 종로구 동숭길 3,,37.580488,127.003203,02-760-4850 ,한국문화예술위원회,art.arko.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-760-4850 ,한국문화예술위원회,2017-12-31
아모레퍼시픽미술관,사립,서울특별시 용산구 한강대로 100,,37.259943,127.110334,02-6040-2345,㈜아모래퍼시픽,http://apma.amorepacific.com/,,0:00,0:00,0:00,0:00,홈페이지참고,9000,7000,6000,,,,02-6040-2345,㈜아모래퍼시픽,2018-03-20
아트선재센터,사립,서울특별시 종로구 율곡로3길 87,,37.579489,126.981955,02-733-8949,대우재단,www.artsonje.org,,0:00,0:00,0:00,0:00,홈페이지참고,5000,3000,3000,,,,02-733-8949,대우재단,2017-12-31
아트센터나비미술관,사립,서울특별시 종로구 종로26 4층,,37.569795,126.980315,02-2121-1031,노소영,www.nabi.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-2121-1031,노소영,2017-12-31
한가람미술관,사립,서울특별시 서초구 남부순환로 2406 예술의전당,,37.480418,127.014258,02-580-1300,예술의전당,www.sac.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-580-1300,예술의전당,2017-12-31
한가람디자인미술관,사립,서울특별시 서초구 남부순환로 2406 예술의전당,,37.479918,127.012564,02-580-1300,예술의전당,www.sac.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-580-1300,예술의전당,2017-12-31
예술의전당 서울특별시서예박물관,사립,서울특별시 서초구 남부순환로 2406 ,,,,02-580-1300,예술의전당,www.sac.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,5000,3000,3000,,,,02-580-1300,예술의전당,2017-12-31
유리지공예관,사립,서울특별시 서초구 중앙로 555,,,,02-578-6663,유리지,"https://yoolizzycraftmuseum.org
https://blog.naver.com/yoolizzy
https://www.facebook.com/yoolizzymuseum/",,0:00,0:00,0:00,0:00,홈페이지참고,5000,,,,,,02-578-6663,유리지,2017-12-31
일민미술관,사립,서울특별시 종로구 세종대로 152,,37.569824,126.977677,02-2020-2050,(재)일민문화재단,www.ilmin.org,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-2020-2050,(재)일민문화재단,2017-12-31
자하미술관,사립,서울특별시 종로구 창의문로5가길46,,37.589433,126.9604,02-395-3222,자하미술관 강종권,www.zahamuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,2000,,,,,,02-395-3222,자하미술관 강종권,2017-12-31
코리아나미술관,사립,서울특별시 강남구 언주로 827,,37.524051,127.032784,02-547-9177,㈜코리아나화장품,www.spacec.co.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-547-9177,㈜코리아나화장품,2017-12-31
토탈미술관,사립,서울특별시 종로구 평창32길 8,,37.611903,126.975621,02-379-7037,노준의,www.totalmuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,3000,2000,2000,,,,02-379-7037,노준의,2017-12-31
포스코미술관,사립,서울특별시 강남구 대치4동 892 포스코센터 내,,37.505831,127.056088,02-3457-1665,㈜포스코,http://www.poscoartmuseum.org/,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-3457-1665,㈜포스코,2017-12-31
학아재미술관,사립,서울특별시 종로구 돈화문로 98,,,,02-766-7647,김로이,www.hagajae.com,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-766-7647,김로이,2017-12-31
한미사진미술관,사립,"서울특별시 송파구 위례성대로 14 한미타워 19, 20층",,37.516608,127.11397,02-418-1315,가현문화재단,www.photomuseum.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-418-1315,가현문화재단,2017-12-31
헬로우뮤지움 ,사립  ,서울특별시 성동구 금호로 72,,37.507358,127.040312,02-3217-4222,"김효정
(김이삭)",www.hellomuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-3217-4222,"김효정
(김이삭)",2017-12-31
환기미술관 ,사립,서울특별시 종로구 자하문로 40길 63,,37.594431,126.966289,02-391-7701,(재)환기재단 ,http://whankimuseum.org/,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-391-7701,(재)환기재단 ,2017-12-31
성북선잠박물관,공립,서울특별시 성북구 성북로 96,,37.593194,126.998205,02-744-0027,성북구청,museum.sb.go.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,1000,500,300,,,,,,
암사동선사유적박물관,공립,서울특별시 강동구 올림픽로 875 (암사동),,37.56058,127.130866,02-3425-6520,강동구청,sunsa.gangdong.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,500,300,300,,,,,,
송파책박물관,공립,서울특별시 송파구 송파대로 37길 77,,37.49918,127.104525,02-2147-2486~7,송파구청,www.bookmuseum.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,,,
서소문성지역사박물관,공립,서울특별시 중구 칠패로 5,,37.560752,126.969038,02-3147-2401,중구청,www.seosomun.org,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,,,
서울우리소리박물관,공립,서울특별시 종로구 율곡로 96,,37.577118,126.989776,02-721-7503,서울특별시,gomuseum.seoul.go.kr/sekm,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,,,
서울생활사박물관,공립,서울특별시 노원구 동일로 174길 27,,37.61968,127.076707,02-3399-2900,서울특별시,www.museum.seoul.kr/sulm/index.do,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,,,
서울공예박물관,공립,서울특별시 종로구 율곡로3길 4,,37.576746,126.983358,02-6450-7000,서울특별시,craftmuseum.seoul.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,대관전시 유료,,,,,
용산역사박물관,공립,서울특별시 용산구 한강대로 14길 35-29,,37.525141,126.965714,02-2199-4620,용산구청,museum.yongsan.go.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,,,
G밸리산업박물관,공립,서울특별시 구로구 디지털로26길 38 G타워 3층,,37.480255,126.895449,02-6734-6903,서울특별시,https://blog.naver.com/museumg,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,,,
간송박물관,,서울특별시 성북구 성북로 102-11,,37.5943,126.996705,02-2153-0320,전형필,kansong.org,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,,,
기생충박물관,,서울특별시 강서구 화곡로 333,,37.553572,126.850734,02-2601-3278,(사)한국건강관리협회,www.parasite.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,,,
매헌윤봉길의사기념관,,서울특별시 서초구 매헌로 99,,37.469548,127.036505,02-578-3388,(사)매헌윤봉길의사기념사업회,www.yunbonggil.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,,,
동덕여자대학교 박물관,,서울특별시 성북구 화랑로 13길 60,,37.606813,127.042381,02-940-4232,조용각,dongdukrenaissancehall.com,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,,,
DDP디자인뮤지엄,,서울특별시 중구 을지로 281 살림터 3층,,37.566502,127.009222,02-2153-0085,서울특별시,,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,,,
아모레퍼시픽미술관,,서울특별시 용산구 한강대로 100,,37.52877,126.968398,02-6040-2345,(주)아모레퍼시픽,apma.amorepacific.com,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,,,
롯데뮤지엄,,서울특별시 송파구 올림픽로 300,,37.512807,127.102603,,신동빈,www.lottemuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,,,
